"X","Gender","Race","Current.Age","TDCJ.Offense","Sentenced.Years","Sentence.Date","Year.of.Sentence","Sentenced.Age"
1,"M","W",84,"MURDER",70,"3/27/1998",1998,59
2,"M","B",81,"MURDER",30,"2/4/2005",2005,63
3,"M","B",83,"MURDER",50,"8/18/2000",2000,60
4,"M","W",80,"MURDER",40,"2/20/1998",1998,55
5,"M","W",82,"MURDER",50,"7/14/1993",1993,52
6,"M","W",80,"MURDER",30,"12/13/1999",1999,56
7,"M","B",77,"MURDER",75,"7/20/1995",1995,49
8,"M","B",74,"MURDER",60,"8/1/1980",1980,31
9,"M","W",78,"MURDER",75,"9/11/2015",2015,70
10,"M","B",78,"MURDER",35,"12/13/2007",2007,62
11,"M","H",81,"MURDER",60,"4/18/2013",2013,71
12,"M","W",76,"MURDER",30,"3/17/1998",1998,51
13,"M","W",81,"MURDER",60,"1/28/2005",2005,63
14,"M","B",76,"MURDER",25,"8/13/2008",2008,61
15,"M","W",74,"AGG ROBBERY",60,"8/1/1995",1995,46
16,"M","B",78,"MURDER",45,"5/26/2004",2004,59
17,"M","W",76,"MURDER",25,"4/6/2006",2006,59
18,"M","W",75,"MURDER",99,"11/8/1996",1996,48
19,"M","W",73,"MURDER",30,"6/16/2008",2008,58
20,"M","B",73,"MURDER",60,"9/26/1983",1983,33
21,"M","W",76,"MURDER",99,"3/6/2007",2007,60
22,"M","W",79,"MURDER",50,"9/25/2012",2012,68
23,"M","B",70,"AGG ROBBERY",30,"8/22/2008",2008,55
24,"M","H",75,"MURDER",35,"12/14/2010",2010,62
25,"M","W",72,"MURDER",14,"1/27/2023",2023,72
26,"M","B",73,"AGG ROBBERY",50,"11/12/1996",1996,46
27,"M","B",73,"MURDER",99,"1/20/1995",1995,45
28,"M","W",75,"AGG ROBBERY",60,"2/25/2004",2004,56
29,"M","H",75,"MURDER",25,"6/9/2011",2011,63
30,"M","W",68,"MURDER",70,"11/5/2019",2019,64
31,"M","W",71,"AGG ROBBERY",45,"3/11/2004",2004,52
32,"M","B",72,"MURDER",60,"12/3/1993",1993,42
33,"M","H",71,"MURDER",30,"10/14/1998",1998,46
34,"M","W",72,"MURDER",20,"1/15/2020",2020,69
35,"M","B",71,"AGG ROBBERY",15,"8/5/2019",2019,67
36,"M","W",67,"MURDER",55,"3/9/2018",2018,62
37,"M","W",71,"MURDER",40,"9/30/1998",1998,46
38,"M","B",72,"MURDER",40,"4/3/2001",2001,50
39,"F","B",74,"MURDER",60,"11/5/1998",1998,49
40,"M","H",76,"AGG ROBBERY",99,"10/19/1994",1994,47
